"ID","Name","Country","Age","Sex","sport_1","sport_2","sport_3","Date_1","Date_2","Date_3","Date_4","post_count_1","post_count_2","post_count_3","post_count_4","follower_count_1","follower_count_2","follower_count_3","follower_count_4","following_count_1","following_count_2","following_count_3","following_count_4","max_likes_1","max_likes_2","max_likes_3","max_likes_4","n_comments_1","n_comments_2","n_comments_3","n_comments_4","n_self_in_1","n_self_in_2","n_self_in_3","n_self_in_4","n_only_self_1","n_only_self_2","n_only_self_3","n_only_self_4"
94,"Mijaín López","Cuba",37,"m","Wrestling Greco-Roman 130 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"17","17","17","17",943,1101,1212,1512,36,36,36,36,181,238,273,361,2,3,3,4,9,9,9,10,2,2,2,2
146,"Vladimer Khinchegashvili","Georgia",28,"m","Wrestling freestyle 57 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"417","421","427","433",38713,39066,39688,39763,522,530,534,548,6686,3051,3230,3265,165,23,25,26,9,7,9,10,4,2,3,4
127,"Soslan Ramonov","Russia",28,"m","Wrestling freestyle 65 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"116","123","131","135",113457,115298,117964,119455,156,159,164,164,11809,10229,12081,12357,56,32,39,39,9,9,9,9,3,0,1,4
117,"Abdulrashid Sadulaev","Russia",23,"m","Wrestling freestyle 86 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"318","330","344","347",856549,873663,915364,937238,790,790,697,700,72155,78122,104001,105192,667,763,3525,3564,7,7,9,9,3,3,3,1
124,"Kyle Snyder","United States",24,"m","Wrestling freestyle 97 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"525","535","543","548",263176,269330,275943,275885,492,505,508,511,34790,40123,24419,25176,198,1030,132,141,10,9,8,9,3,4,5,6
132,"Taha Akgül","Turkey",29,"m","Wrestling freestyle 125 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"618","625","630","640",136953,135673,141740,145388,692,693,698,717,25476,15751,25424,28795,208,129,363,260,9,9,7,7,6,6,9,5
39,"Eri Tosaka","Japan",26,"f","Wrestling freestyle 48 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"267","274","277","270",29639,29873,29883,29799,457,451,442,446,6044,6047,2883,2886,165,165,13,14,9,6,5,5,4,2,1,1
57,"Helen Maroulis","United States",28,"f","Wrestling freestyle 53 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"1001","1005","1010","1014",174634,175251,175347,174870,1026,1035,1042,1059,23652,23859,15335,12942,374,378,147,134,6,6,8,6,5,5,6,5
110,"Risako Kawai","Japan",25,"f","Wrestling freestyle 63 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"351","358","362","367",5693,5783,6121,6182,475,478,479,482,552,776,813,820,5,6,6,6,3,7,6,5,3,4,3,4
42,"Erica Wiebe","Canada",30,"f","Wrestling freestyle 75 kg",NA,NA,2019-08-12,2019-09-12,2019-10-12,2019-11-11,"661","672","678","690",15501,15609,15969,16503,1594,1617,1659,1701,1673,1599,1914,1935,46,50,64,65,10,10,10,10,6,8,7,7
